"kit_id","transect_location","water_color_forel.ule_scale","water_dissolved_o2_mg_l","water_orp_mv","water_ph","upland_soil_temperature_degC","upland_soil_moisture","transition_soil_temperature_degC","transition_soil_moisture","wetland_soil_temperature_degC","wetland_soil_moisture","latitude","longitude","elevation_m","collection_time_utc","macrophytes_algae","systemtype","volume_ml","notes","soil_type","rotten_egg_smell","color","soil_horizon","ecosystem_code_IGBP","elevation_flag","collection_date","site_name","state","region","samples_collected","air_temperature_degC","barometric_pressure_inhg","weather_conditions","kit_notes","igsn.x","campaign.x","bulk_density_g_cm3","igsn.y","campaign.y","Ca_meq_100g","Mg_meq_100g","Na_meq_100g","K_meq_100g","CEC_meq_100g","Al_meq_100g","igsn.x","campaign.x","specific_conductance_us_cm","igsn.y","campaign.y","moisturecontent_perc_drywtbasis","igsn.x","campaign.x","Fe_ug_g","igsn.y","campaign.y","albite","chlorite","dolomite","halite","hornblende","kaolinite","microcline","muscovite","pyrite","quartz","igsn.x","campaign.x","ph","igsn.y","campaign.y","carbon_weight_perc","igsn.x","campaign.x","percent_clay","percent_sand","percent_silt","igsn.y","campaign.y","nitrogen_weight_perc","igsn.x","campaign.x","pebbles_angular_rounded","root_presence","root_thickness","visible_minerals","visible_organisms","uninhabited_shells","iron_oxidation","glass_plastic","igsn.y","campaign.y","alpha","n","th_r","th_s"
"K009","transition",NA,8.94,NA,7.77,15.9,NA,14.8,NA,14.1,NA,41.3745,-82.5169,176.16,"19:55:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,"Organic",NA,NA,"2021-10-18","West of Star Island, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","23.1","30.12058","Sunny",NA,"IEEXG0040","EC1",0.54788090951602,"IEEXG003Y","EC1",4.37,1.31,0.09,0.18,5.95,NA,"IEEXG003Y","EC1",110,"IEEXG003Z","EC1",137,"IEEXG003Y","EC1",3967.2,"IEEXG003Y","EC1",17.0171,0,0,0,0,3.9346,11.7093,0,0,67.3391,"IEEXG003Y","EC1",6.08,"IEEXG003Y","EC1",4.857,NA,NA,NA,NA,NA,"IEEXG003Y","EC1",0.391,"IEEXG003Y","EC1","none","few","fine","none","none","none","no","no","IEEXG0040","EC1",0.0103,1.294,0,0.694
"K009","upland",NA,8.94,NA,7.77,15.9,NA,14.8,NA,14.1,NA,41.3747,-82.517,177.71,"20:00:00",NA,NA,NA,NA,"Zurich silt loam, 12 to 18 percent slopes, eroded (ZuD2)",NA,NA,"Organic",5,NA,"2021-10-18","West of Star Island, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","23.1","30.12058","Sunny",NA,"IEEXG003X","EC1",0.552136752136752,"IEEXG003V","EC1",4.32,2.56,0.15,0.72,7.79,0.04,"IEEXG003V","EC1",101,"IEEXG003W","EC1",17,"IEEXG003V","EC1",1103.37,"IEEXG003V","EC1",13.6342,0,0,0,0,4.3998,10.7376,0,0,71.2284,"IEEXG003V","EC1",6.04,"IEEXG003V","EC1",4.279,"IEEXG003X","EC1",3.98,35.05,60.97,"IEEXG003V","EC1",0.405,"IEEXG003V","EC1","none","few","fine","none","none","none","no","no","IEEXG003X","EC1",0.5,1.18,0,0.621
"K009","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3754,-82.5164,174.49,"18:38:00","Macrophytes","Lacestuary",175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K009","wetland",NA,8.94,NA,7.77,15.9,NA,14.8,NA,14.1,NA,41.3746,-82.5167,174.87,"19:40:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,"Organic",NA,NA,"2021-10-18","West of Star Island, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","23.1","30.12058","Sunny",NA,"IEEXG003U","EC1",0.229451062177709,"IEEXG003S","EC1",7.54,2.28,0.21,0.3,10.33,NA,"IEEXG003S","EC1",400,"IEEXG003T","EC1",338,"IEEXG003S","EC1",5688.2,"IEEXG003S","EC1",10.2521,0.5264,0,0,0,6.4213,11.1498,21.3847,0,50.2657,"IEEXG003S","EC1",6.41,"IEEXG003S","EC1",9.181,"IEEXG003U","EC1",4.72,15.96,79.31,"IEEXG003S","EC1",0.82,"IEEXG003S","EC1","none","few","fine","none","molluscs","intact","yes","no","IEEXG003U","EC1",0.00563,1.475,0,0.537
"K010","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3733,-82.5092,173.26,"18:58:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)","No","Dark Chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K010","transition",16,8.88,NA,7.71,14.1,NA,13.4,NA,12.6,NA,41.3731,-82.5076,175.38,"18:05:00",NA,NA,NA,NA,"Zurich silt loam, 18 to 25 percent slopes, eroded (ZuE2)",NA,NA,"Organic",NA,NA,"2021-10-19","Eagle Cove, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","22","29.83","Sunny",NA,"IEEXG004G","EC1",0.755555555555556,"IEEXG004E","EC1",3.58,1.46,0.12,0.13,5.29,NA,"IEEXG004E","EC1",68.5,"IEEXG004F","EC1",71,"IEEXG004E","EC1",2365.76,"IEEXG004E","EC1",14.6018,0,0,0.7881,0,4.8576,10.941,0,0,68.8114,"IEEXG004E","EC1",6.15,"IEEXG004E","EC1",3.745,NA,NA,NA,NA,NA,"IEEXG004E","EC1",0.309,"IEEXG004E","EC1","none","few","fine","none","none","none","yes","yes","IEEXG004G","EC1",0.00568,1.275,0,0.583
"K010","upland",16,8.88,NA,7.71,14.1,NA,13.4,NA,12.6,NA,41.3732,-82.5075,177.47,"18:17:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,"Organic",4,NA,"2021-10-19","Eagle Cove, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","22","29.83","Sunny",NA,"IEEXG004D","EC1",0.745185185185185,"IEEXG004B","EC1",3.26,1.73,0.04,0.24,5.27,NA,"IEEXG004B","EC1",48.8,"IEEXG004C","EC1",35,"IEEXG004B","EC1",954.16,"IEEXG004B","EC1",9.717,0,0,0,0,2.2708,8.3588,12.5959,0,67.0575,"IEEXG004B","EC1",5.49,"IEEXG004B","EC1",3.845,"IEEXG004D","EC1",0.81,29.27,69.92,"IEEXG004B","EC1",0.39,"IEEXG004B","EC1","none","none",NA,"none","worms","none","no","no","IEEXG004D","EC1",0.1203,1.168,0,0.524
"K010","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3734,-82.5091,173.26,"18:39:00","Macrophytes","Lacestuary",302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K010","wetland",16,8.88,NA,7.71,14.1,NA,13.4,NA,12.6,NA,41.3731,-82.5083,174.56,"17:49:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,"Organic",NA,NA,"2021-10-19","Eagle Cove, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","22","29.83","Sunny",NA,"IEEXG004A","EC1",0.445787545787546,"IEEXG0048","EC1",3.51,1.21,0.18,0.19,5.09,NA,"IEEXG0048","EC1",244,"IEEXG0049","EC1",173,"IEEXG0048","EC1",5579.51,"IEEXG0048","EC1",13.2167,0.4604,0,0,0,3.8122,12.4669,16.382,0,53.6618,"IEEXG0048","EC1",6.42,"IEEXG0048","EC1",4.95,"IEEXG004A","EC1",7.28,13.84,78.88,"IEEXG0048","EC1",0.453,"IEEXG0048","EC1","angular","few","fine","none","none","none","no","no","IEEXG004A","EC1",0.0173,1.234,0,0.724
"K011","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3772,-82.51,176.09,"16:47:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)","No","Dark Chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K011","transition",16,8.81,NA,7.81,15.6,NA,15.9,NA,13.4,NA,41.3765,-82.5081,176.11,"15:44:00",NA,NA,NA,NA,"Zurich silt loam, 25 to 40 percent slopes (ZuF)",NA,NA,"Organic",NA,NA,"2021-10-18","Red Trail, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","21.2","30.15","Sunny, almost no wind",NA,"IEEXG004W","EC1",0.7071129602269,"IEEXG004U","EC1",2.13,1.42,0.11,0.11,3.77,NA,"IEEXG004U","EC1",56.4,"IEEXG004V","EC1",30,"IEEXG004U","EC1",2067.86,"IEEXG004U","EC1",11.4772,0,0,0,0,3.3089,10.0379,0,0,75.176,"IEEXG004U","EC1",5.18,"IEEXG004U","EC1",2.596,"IEEXG004W","EC1",3.67,17.23,79.09,"IEEXG004U","EC1",0.232,"IEEXG004U","EC1","none","moderate","fine","none","none","none","no","no","IEEXG004W","EC1",0.115,1.147,0,0.755
"K011","upland",16,8.81,NA,7.81,15.6,NA,15.9,NA,13.4,NA,41.3865,-82.5082,173.26,"15:36:00",NA,NA,NA,NA,NA,NA,NA,"Organic",4,NA,"2021-10-18","Red Trail, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","21.2","30.15","Sunny, almost no wind",NA,"IEEXG004T","EC1",0.86680740558247,"IEEXG004R","EC1",2.44,1.67,0.05,0.2,4.4,0.04,"IEEXG004R","EC1",59.8,"IEEXG004S","EC1",18,"IEEXG004R","EC1",1160.2,"IEEXG004R","EC1",11.8157,0,0,0,0,1.8612,8.3064,13.4467,0,64.5701,"IEEXG004R","EC1",7.55,"IEEXG004R","EC1",3.199,"IEEXG004T","EC1",11.27,19.74,68.98,"IEEXG004R","EC1",0.279,"IEEXG004R","EC1","none","few","fine","none","worms","none","no","no","IEEXG004T","EC1",0.2344,1.154,0,0.375
"K011","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3772,-82.51,176.09,"16:10:00","Macrophytes, Algae","Lacestuary",420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K011","wetland",16,8.81,NA,7.81,15.6,NA,15.9,NA,13.4,NA,41.3765,-82.5081,176.11,"15:23:00",NA,NA,NA,NA,"Holly silt loam, 0 to 1 percent slopes, occasionally flooded (HoA)",NA,NA,"Organic",NA,NA,"2021-10-18","Red Trail, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","21.2","30.15","Sunny, almost no wind",NA,"IEEXG004Q","EC1",0.401153846153846,"IEEXG004O","EC1",5.97,1.64,0.21,0.23,8.05,NA,"IEEXG004O","EC1",353,"IEEXG004P","EC1",160,"IEEXG004O","EC1",5474.85,"IEEXG004O","EC1",12.3591,0.3472,0,0,0,3.8998,8.3682,17.2748,0,57.7508,"IEEXG004O","EC1",6.14,"IEEXG004O","EC1",5.822,NA,NA,NA,NA,NA,"IEEXG004O","EC1",0.629,"IEEXG004O","EC1","none","few","fine","none","none","none","yes","no","IEEXG004Q","EC1",0.0141,1.247,0,0.696
"K012","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5831,-83.688,176.78,"20:05:00",NA,NA,NA,"surrounded by agriculture","Aquents, ponded (75)","Yes","Dark Chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K012","transition",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-11","Quanicassee Wildlife Area","MI","Great Lakes","Water, Sediment, Soil - Wetland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K012","upland",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-11","Quanicassee Wildlife Area","MI","Great Lakes","Water, Sediment, Soil - Wetland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K012","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5831,-83.688,176.78,"20:10:00","Macrophytes, Algae",NA,142,"surrounded by agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K012","wetland",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.583,-83.6882,176.99,"19:45:00",NA,NA,NA,"surrounded by agriculture","Aquents, ponded (75)",NA,NA,"Organic",NA,NA,"2021-10-11","Quanicassee Wildlife Area","MI","Great Lakes","Water, Sediment, Soil - Wetland",NA,NA,NA,NA,"IEEXG0056","EC1",0.691290036893292,"IEEXG0054","EC1",4.1,0.87,0.12,0.05,5.14,NA,"IEEXG0054","EC1",99.1,"IEEXG0055","EC1",80,"IEEXG0054","EC1",2149.9,"IEEXG0054","EC1",9.2914,0,0.9374,0,2.3995,2.1803,16.9997,0,0,68.1918,"IEEXG0054","EC1",6.75,"IEEXG0054","EC1",4.629,"IEEXG0056","EC1",5.92,78.17,15.91,"IEEXG0054","EC1",0.523,"IEEXG0054","EC1","none","moderate","fine","quartz","none","intact and fragments","no","no","IEEXG0056","EC1",0.0138,1.444,0,0.402
