igsn,campaign,kit_id,transect_location,nitrogen_weight_perc
IEEXG00MJ,EC1,K051,upland,0.118
IEEXG00MG,EC1,K051,wetland,0.205
IEEXG00N2,EC1,K052,transition,0.113
IEEXG00MZ,EC1,K052,upland,0.206
IEEXG00NI,EC1,K053,transition,0.462
IEEXG00NF,EC1,K053,upland,0.51
IEEXG00NC,EC1,K053,wetland,1.011
IEEXG00NY,EC1,K054,transition,0.88
IEEXG00NV,EC1,K054,upland,0.389
IEEXG00NS,EC1,K054,wetland,1.09
IEEXG00OB,EC1,K055,upland,0.543
IEEXG00OU,EC1,K056,transition,0.399
IEEXG00OR,EC1,K056,upland,0.617
IEEXG00OO,EC1,K056,wetland,0.78
IEEXG00PQ,EC1,K058,transition,1.085
IEEXG00PN,EC1,K058,upland,1.451
IEEXG00PK,EC1,K058,wetland,0.555
IEEXG00Q6,EC1,K059,transition,1.315
IEEXG00Q3,EC1,K059,upland,0.966
IEEXG00Q0,EC1,K059,wetland,1.72
IEEXG00R2,EC1,K061,transition,0.163
IEEXG00QZ,EC1,K061,upland,0.207
IEEXG00QW,EC1,K061,wetland,0.42
IEEXG00RI,EC1,K062,transition,0.463
IEEXG00RF,EC1,K062,upland,0.374
IEEXG00RC,EC1,K062,wetland,0.811
