igsn,campaign,kit_id,transect_location,specific_conductance_us_cm
IEEXG00JF,EC1,K044,upland,183
IEEXG00JY,EC1,K045,transition,193
IEEXG00JV,EC1,K045,upland,154
IEEXG00JS,EC1,K045,wetland,350
IEEXG00K8,EC1,K046,wetland,9020
IEEXG00KB,EC1,K046,upland,499
IEEXG00KU,EC1,K047,transition,164
IEEXG00KR,EC1,K047,upland,120
IEEXG00KO,EC1,K047,wetland,710
IEEXG00LA,EC1,K048,transition,139
IEEXG00L7,EC1,K048,upland,58
IEEXG00L4,EC1,K048,wetland,189
IEEXG00LQ,EC1,K049,transition,21.8
IEEXG00LN,EC1,K049,upland,14
IEEXG00LK,EC1,K049,wetland,17.7
IEEXG00M6,EC1,K050,transition,38.1
IEEXG00M3,EC1,K050,upland,167
IEEXG00M0,EC1,K050,wetland,209
IEEXG00MJ,EC1,K051,upland,204
IEEXG00MG,EC1,K051,wetland,1160
IEEXG00MM,EC1,K051,transition,8290
IEEXG00N2,EC1,K052,transition,102
IEEXG00MZ,EC1,K052,upland,141
IEEXG00NI,EC1,K053,transition,52.8
IEEXG00NF,EC1,K053,upland,83
IEEXG00NC,EC1,K053,wetland,312
IEEXG00NV,EC1,K054,upland,56.9
IEEXG00NY,EC1,K054,transition,3630
IEEXG00NS,EC1,K054,wetland,8750
IEEXG00OB,EC1,K055,upland,36.8
IEEXG00OU,EC1,K056,transition,2640
IEEXG00OR,EC1,K056,upland,4730
IEEXG00OO,EC1,K056,wetland,13500
IEEXG00PK,EC1,K058,wetland,7690
IEEXG00PN,EC1,K058,upland,413
IEEXG00Q0,EC1,K059,wetland,11900
IEEXG00Q6,EC1,K059,transition,9130
IEEXG00Q3,EC1,K059,upland,1100
IEEXG00R2,EC1,K061,transition,256
IEEXG00QZ,EC1,K061,upland,91.7
IEEXG00QW,EC1,K061,wetland,787
IEEXG00RI,EC1,K062,transition,955
IEEXG00RF,EC1,K062,upland,53.4
IEEXG00RC,EC1,K062,wetland,5280
